p_recall,timestamp,time_elapsed,user_id,item_id,history_seen,history_correct,exponential
0.75,1190202942,317,1,40,4,3,2.44
0.25,1190203335,393,1,40,5,4,2.952
0.75,1190203355,20,1,40,6,4,2.3616
0.75,1190204001,646,1,40,7,5,2.88928
0.75,1190204780,779,1,40,8,6,3.311424
0.75,1190205883,1103,1,40,9,7,3.6491392
0.75,1190206642,759,1,40,10,8,3.91931136
0.75,1190207178,536,1,40,11,9,4.135449088
0.75,1190203005,386,1,41,2,2,1.8
0.75,1190203573,568,1,41,3,3,2.44
0.75,1190204552,979,1,41,4,4,2.952
0.75,1190205439,887,1,41,5,5,3.3616
0.75,1190206393,954,1,41,6,6,3.68928
0.75,1190206997,604,1,41,7,7,3.951424
0.75,1190207539,542,1,41,8,8,4.1611392
0.75,1190203013,383,1,42,2,2,1.8
0.75,1190203593,580,1,42,3,3,2.44
0.75,1190204559,966,1,42,4,4,2.952
0.75,1190205444,885,1,42,5,5,3.3616
0.75,1190206399,955,1,42,6,6,3.68928
0.75,1190207003,604,1,42,7,7,3.951424
0.75,1190207558,555,1,42,8,8,4.1611392
0.75,1190202494,87,1,43,2,1,1.0
0.75,1190202669,175,1,43,3,2,1.8
0.75,1190202956,287,1,43,4,3,2.44
0.75,1190203351,395,1,43,5,4,2.952
0.75,1190203993,642,1,43,6,5,3.3616
0.75,1190204773,780,1,43,7,6,3.68928
0.75,1190205868,1095,1,43,8,7,3.951424
0.75,1190206628,760,1,43,9,8,4.1611392
0.75,1190207173,545,1,43,10,9,4.32891136
0.75,1190203023,377,1,44,2,2,1.8
0.75,1190203603,580,1,44,3,3,2.44
0.75,1190204568,965,1,44,4,4,2.952
0.75,1190205453,885,1,44,5,5,3.3616
0.75,1190206440,987,1,44,6,6,3.68928
0.75,1190207040,600,1,44,7,7,3.951424
0.75,1190207595,555,1,44,8,8,4.1611392
0.75,1190203035,359,1,45,2,2,1.8
0.75,1190203611,576,1,45,3,3,2.44
0.75,1190204581,970,1,45,4,4,2.952
0.75,1190205464,883,1,45,5,5,3.3616
0.75,1190206475,1011,1,45,6,6,3.68928
0.75,1190207058,583,1,45,7,7,3.951424
0.75,1190207606,548,1,45,8,8,4.1611392
0.75,1190203029,333,1,46,2,2,1.8
0.75,1190203618,589,1,46,3,3,2.44
0.75,1190204574,956,1,46,4,4,2.952
0.75,1190205458,884,1,46,5,5,3.3616
0.75,1190206413,955,1,46,6,6,3.68928
0.75,1190207022,609,1,46,7,7,3.951424
0.75,1190207586,564,1,46,8,8,4.1611392
0.75,1190202507,19,1,47,2,0,0.0
0.75,1190202609,102,1,47,3,1,1.0
0.75,1190202817,208,1,47,4,2,1.8
0.75,1190203136,319,1,47,5,3,2.44
0.75,1190203623,487,1,47,6,4,2.952
0.75,1190204289,666,1,47,7,5,3.3616
0.75,1190205100,811,1,47,8,6,3.68928
0.25,1190206162,1062,1,47,9,7,3.951424
0.75,1190206188,26,1,47,10,7,3.1611392
0.75,1190206856,668,1,47,11,8,3.52891136
0.75,1190207387,531,1,47,12,9,3.823129088
0.75,1190203175,353,1,48,2,2,1.8
0.75,1190203849,674,1,48,3,3,2.44
0.75,1190204656,807,1,48,4,4,2.952
0.75,1190205713,1057,1,48,5,5,3.3616
0.75,1190206572,859,1,48,6,6,3.68928
0.75,1190207140,568,1,48,7,7,3.951424
0.75,1190203191,337,1,49,2,2,1.8
0.75,1190203859,668,1,49,3,3,2.44
0.75,1190204661,802,1,49,4,4,2.952
0.75,1190205721,1060,1,49,5,5,3.3616
0.75,1190206576,855,1,49,6,6,3.68928
0.75,1190207150,574,1,49,7,7,3.951424
0.25,1190202682,88,1,50,2,1,1.0
0.25,1190202713,31,1,50,3,1,0.8
0.75,1190202729,16,1,50,4,1,0.64
0.75,1190202937,208,1,50,5,2,1.512
0.25,1190203241,304,1,50,6,3,2.2096
0.25,1190203273,32,1,50,7,3,1.76768
0.25,1190203291,18,1,50,8,3,1.414144
0.75,1190203308,17,1,50,9,3,1.1313152
0.75,1190203833,525,1,50,10,4,1.90505216
0.25,1190204597,764,1,50,11,5,2.524041728
0.75,1190204626,29,1,50,12,5,2.0192333824
0.75,1190205435,809,1,50,13,6,2.61538670592
0.75,1190206386,951,1,50,14,7,3.09230936474
0.75,1190206958,572,1,50,15,8,3.47384749179
0.75,1190207488,530,1,50,16,9,3.77907799343
0.75,1190203212,340,1,51,2,2,1.8
0.75,1190203898,686,1,51,3,3,2.44
0.75,1190204669,771,1,51,4,4,2.952
0.75,1190205879,1210,1,51,5,5,3.3616
0.75,1190206644,765,1,51,6,6,3.68928
0.75,1190207249,605,1,51,7,7,3.951424
0.75,1190202921,17,1,52,2,1,0.8
0.75,1190203323,402,1,52,3,2,1.64
0.75,1190203987,664,1,52,4,3,2.312
0.75,1190204803,816,1,52,5,4,2.8496
0.75,1190205970,1167,1,52,6,5,3.27968
0.75,1190206713,743,1,52,7,6,3.623744
0.75,1190207310,597,1,52,8,7,3.8989952
0.75,1190203282,353,1,53,2,2,1.8
0.75,1190203953,671,1,53,3,3,2.44
0.75,1190204767,814,1,53,4,4,2.952
0.75,1190205905,1138,1,53,5,5,3.3616
0.75,1190206658,753,1,53,6,6,3.68928
0.75,1190207263,605,1,53,7,7,3.951424
0.75,1190203295,363,1,54,2,2,1.8
0.75,1190203964,669,1,54,3,3,2.44
0.75,1190204776,812,1,54,4,4,2.952
0.75,1190205935,1159,1,54,5,5,3.3616
0.75,1190206696,761,1,54,6,6,3.68928
0.75,1190207286,590,1,54,7,7,3.951424
0.75,1190203312,366,1,55,2,2,1.8
0.75,1190203981,669,1,55,3,3,2.44
0.75,1190204790,809,1,55,4,4,2.952
0.75,1190205922,1132,1,55,5,5,3.3616
0.75,1190206669,747,1,55,6,6,3.68928
0.75,1190207269,600,1,55,7,7,3.951424
0.75,1190203344,384,1,56,2,2,1.8
0.75,1190203997,653,1,56,3,3,2.44
0.75,1190204784,787,1,56,4,4,2.952
0.75,1190205927,1143,1,56,5,5,3.3616
0.75,1190206672,745,1,56,6,6,3.68928
0.75,1190207279,607,1,56,7,7,3.951424
0.75,1190202869,108,1,57,2,1,1.0
0.75,1190203048,179,1,57,3,2,1.8
0.75,1190203369,321,1,57,4,3,2.44
0.75,1190203881,512,1,57,5,4,2.952
0.75,1190204636,755,1,57,6,5,3.3616
0.75,1190205427,791,1,57,7,6,3.68928
0.75,1190206368,941,1,57,8,7,3.951424
0.75,1190206950,582,1,57,9,8,4.1611392
0.75,1190207461,511,1,57,10,9,4.32891136
0.75,1190203360,379,1,58,2,2,1.8
0.75,1190204013,653,1,58,3,3,2.44
0.75,1190204816,803,1,58,4,4,2.952
0.75,1190205950,1134,1,58,5,5,3.3616
0.75,1190206700,750,1,58,6,6,3.68928
0.75,1190207298,598,1,58,7,7,3.951424
0.75,1190202808,18,1,59,2,0,0.0
0.75,1190202916,108,1,59,3,1,1.0
0.75,1190203143,227,1,59,4,2,1.8
0.75,1190203533,390,1,59,5,3,2.44
0.75,1190204089,556,1,59,6,4,2.952
0.75,1190204822,733,1,59,7,5,3.3616
0.75,1190205850,1028,1,59,8,6,3.68928
0.75,1190206605,755,1,59,9,7,3.951424
0.75,1190207135,530,1,59,10,8,4.1611392
0.75,1190202909,113,1,60,2,1,1.0
0.75,1190203113,204,1,60,3,2,1.8
0.25,1190203469,356,1,60,4,3,2.44
0.75,1190203487,18,1,60,5,3,1.952
0.75,1190204018,531,1,60,6,4,2.5616
0.75,1190204687,669,1,60,7,5,3.04928
0.75,1190205620,933,1,60,8,6,3.439424
0.75,1190206495,875,1,60,9,7,3.7515392
0.75,1190207050,555,1,60,10,8,4.00123136
0.75,1190207545,495,1,60,11,9,4.200985088
0.75,1190202924,111,1,61,2,1,1.0
0.75,1190203131,207,1,61,3,2,1.8
0.75,1190203520,389,1,61,4,3,2.44
0.75,1190204046,526,1,61,5,4,2.952
0.75,1190204763,717,1,61,6,5,3.3616
0.25,1190205702,939,1,61,7,6,3.68928
0.75,1190205716,14,1,61,8,6,2.951424
0.25,1190206514,798,1,61,9,7,3.3611392
0.75,1190206531,17,1,61,10,7,2.68891136
0.75,1190207075,544,1,61,11,8,3.151129088
0.75,1190207590,515,1,61,12,9,3.5209032704
0.75,1190202892,92,1,62,2,1,1.0
0.25,1190203068,176,1,62,3,2,1.8
0.75,1190203082,14,1,62,4,2,1.44
0.75,1190203384,302,1,62,5,3,2.152
0.75,1190203886,502,1,62,6,4,2.7216
0.75,1190204620,734,1,62,7,5,3.17728
0.75,1190205423,803,1,62,8,6,3.541824
0.75,1190206362,939,1,62,9,7,3.8334592
0.75,1190206924,562,1,62,10,8,4.06676736
0.75,1190207448,524,1,62,11,9,4.253413888
0.75,1190203700,435,1,63,2,2,1.8
0.75,1190204300,600,1,63,3,3,2.44
0.75,1190205079,779,1,63,4,4,2.952
0.75,1190206115,1036,1,63,5,5,3.3616
0.75,1190206845,730,1,63,6,6,3.68928
0.75,1190207380,535,1,63,7,7,3.951424
0.75,1190203181,101,1,64,2,1,1.0
0.75,1190203379,198,1,64,3,2,1.8
0.75,1190203734,355,1,64,4,3,2.44
0.75,1190204255,521,1,64,5,4,2.952
0.75,1190204902,647,1,64,6,5,3.3616
0.75,1190205876,974,1,64,7,6,3.68928
0.75,1190206598,722,1,64,8,7,3.951424
0.75,1190207114,516,1,64,9,8,4.1611392
0.25,1190203169,91,1,65,2,1,1.0
0.75,1190203185,16,1,65,3,1,0.8
0.75,1190203373,188,1,65,4,2,1.64
0.75,1190203714,341,1,65,5,3,2.312
0.75,1190204207,493,1,65,6,4,2.8496
0.75,1190204881,674,1,65,7,5,3.27968
0.75,1190205829,948,1,65,8,6,3.623744
0.75,1190206563,734,1,65,9,7,3.8989952
0.75,1190207087,524,1,65,10,8,4.11919616
0.75,1190207599,512,1,65,11,9,4.295356928
0.25,1190203230,107,1,66,2,1,1.0
0.25,1190203257,27,1,66,3,1,0.8
0.75,1190203278,21,1,66,4,1,0.64
0.75,1190203506,228,1,66,5,2,1.512
0.75,1190203905,399,1,66,6,3,2.2096
0.75,1190204537,632,1,66,7,4,2.76768
0.75,1190205212,675,1,66,8,5,3.214144
0.75,1190206094,882,1,66,9,6,3.5713152
0.75,1190206823,729,1,66,10,7,3.85705216
0.75,1190207345,522,1,66,11,8,4.085641728
0.75,1190203218,91,1,67,2,1,1.0
0.75,1190203416,198,1,67,3,2,1.8
0.75,1190203784,368,1,67,4,3,2.44
0.75,1190204285,501,1,67,5,4,2.952
0.25,1190204920,635,1,67,6,5,3.3616
0.75,1190204937,17,1,67,7,5,2.68928
0.75,1190205890,953,1,67,8,6,3.151424
0.75,1190206613,723,1,67,9,7,3.5211392
0.75,1190207129,516,1,67,10,8,3.81691136
0.75,1190203788,424,1,68,2,2,1.8
0.75,1190204521,733,1,68,3,3,2.44
0.75,1190205230,709,1,68,4,4,2.952
0.75,1190206245,1015,1,68,5,5,3.3616
0.75,1190206871,626,1,68,6,6,3.68928
0.75,1190207421,550,1,68,7,7,3.951424
0.75,1190203318,94,1,69,2,1,1.0
0.75,1190203526,208,1,69,3,2,1.8
0.75,1190203895,369,1,69,4,3,2.44
0.75,1190204452,557,1,69,5,4,2.952
0.75,1190205095,643,1,69,6,5,3.3616
0.75,1190205996,901,1,69,7,6,3.68928
0.75,1190206680,684,1,69,8,7,3.951424
0.75,1190207242,562,1,69,9,8,4.1611392
0.75,1190203516,97,1,70,2,1,1.0
0.75,1190203731,215,1,70,3,2,1.8
0.75,1190204078,347,1,70,4,3,2.44
0.75,1190204630,552,1,70,5,4,2.952
0.75,1190205282,652,1,70,6,5,3.3616
0.75,1190206181,899,1,70,7,6,3.68928
0.75,1190206836,655,1,70,8,7,3.951424
0.75,1190207349,513,1,70,9,8,4.1611392
0.25,1190203483,34,1,71,2,0,0.0
0.75,1190203500,17,1,71,3,0,0.0
0.75,1190203648,148,1,71,4,1,1.0
0.75,1190203949,301,1,71,5,2,1.8
0.75,1190204489,540,1,71,6,3,2.44
0.75,1190205084,595,1,71,7,4,2.952
0.75,1190205980,896,1,71,8,5,3.3616
0.75,1190206654,674,1,71,9,6,3.68928
0.75,1190207168,514,1,71,10,7,3.951424
0.25,1190203582,121,1,72,2,1,1.0
0.75,1190203596,14,1,72,3,1,0.8
0.75,1190203854,258,1,72,4,2,1.64
0.25,1190204267,413,1,72,5,3,2.312
0.75,1190204282,15,1,72,6,3,1.8496
0.25,1190204828,546,1,72,7,4,2.47968
0.25,1190204856,28,1,72,8,4,1.983744
0.75,1190204877,21,1,72,9,4,1.5869952
0.25,1190205645,768,1,72,10,5,2.26959616
0.75,1190205667,22,1,72,11,5,1.815676928
0.75,1190206417,750,1,72,12,6,2.4525415424
0.25,1190206968,551,1,72,13,7,2.96203323392
0.75,1190206986,18,1,72,14,7,2.36962658714
0.75,1190207467,481,1,72,15,8,2.89570126971
0.75,1190203548,96,1,73,2,1,1.0
0.75,1190203776,228,1,73,3,2,1.8
0.75,1190204120,344,1,73,4,3,2.44
0.75,1190204647,527,1,73,5,4,2.952
0.75,1190205315,668,1,73,6,5,3.3616
0.75,1190206199,884,1,73,7,6,3.68928
0.75,1190206840,641,1,73,8,7,3.951424
0.75,1190207352,512,1,73,9,8,4.1611392
0.75,1190203554,97,1,74,2,1,1.0
0.75,1190203780,226,1,74,3,2,1.8
0.75,1190204139,359,1,74,4,3,2.44
0.75,1190204650,511,1,74,5,4,2.952
0.75,1190205328,678,1,74,6,5,3.3616
0.25,1190206206,878,1,74,7,6,3.68928
0.75,1190206228,22,1,74,8,6,2.951424
0.75,1190206848,620,1,74,9,7,3.3611392
0.75,1190207358,510,1,74,10,8,3.68891136
0.75,1190203513,16,1,75,2,0,0.0
0.25,1190203643,130,1,75,3,1,1.0
0.75,1190203658,15,1,75,4,1,0.8
0.75,1190203929,271,1,75,5,2,1.64
0.25,1190204416,487,1,75,6,3,2.312
0.75,1190204434,18,1,75,7,3,1.8496
0.25,1190204974,540,1,75,8,4,2.47968
0.75,1190204986,12,1,75,9,4,1.983744
0.25,1190205839,853,1,75,10,5,2.5869952
0.75,1190205858,19,1,75,11,5,2.06959616
0.75,1190206554,696,1,75,12,6,2.655676928
0.75,1190207066,512,1,75,13,7,3.1245415424
0.75,1190207535,469,1,75,14,8,3.49963323392
0.75,1190203756,105,1,76,2,1,1.0
0.75,1190203976,220,1,76,3,2,1.8
0.75,1190204389,413,1,76,4,3,2.44
0.75,1190204892,503,1,76,5,4,2.952
0.75,1190205632,740,1,76,6,5,3.3616
0.75,1190206388,756,1,76,7,6,3.68928
0.75,1190206939,551,1,76,8,7,3.951424
0.75,1190207431,492,1,76,9,8,4.1611392
0.75,1190203828,144,1,77,2,1,1.0
0.75,1190204057,229,1,77,3,2,1.8
0.75,1190204505,448,1,77,4,3,2.44
0.75,1190205013,508,1,77,5,4,2.952
0.75,1190205832,819,1,77,6,5,3.3616
0.75,1190206506,674,1,77,7,6,3.68928
0.75,1190207024,518,1,77,8,7,3.951424
0.75,1190207504,480,1,77,9,8,4.1611392
0.75,1190203814,125,1,78,2,1,1.0
0.75,1190204036,222,1,78,3,2,1.8
0.75,1190204485,449,1,78,4,3,2.44
0.75,1190204981,496,1,78,5,4,2.952
0.75,1190205724,743,1,78,6,5,3.3616
0.75,1190206485,761,1,78,7,6,3.68928
0.75,1190206992,507,1,78,8,7,3.951424
0.75,1190207471,479,1,78,9,8,4.1611392
0.25,1190203810,117,1,79,2,1,1.0
0.75,1190203825,15,1,79,3,1,0.8
0.75,1190204039,214,1,79,4,2,1.64
0.75,1190204473,434,1,79,5,3,2.312
0.75,1190204962,489,1,79,6,4,2.8496
0.75,1190205708,746,1,79,7,5,3.27968
0.75,1190206464,756,1,79,8,6,3.623744
0.75,1190206977,513,1,79,9,7,3.8989952
0.75,1190207456,479,1,79,10,8,4.11919616
0.75,1190203843,115,1,80,2,1,1.0
0.75,1190204075,232,1,80,3,2,1.8
0.25,1190204531,456,1,80,4,3,2.44
0.75,1190204544,13,1,80,5,3,1.952
0.75,1190205060,516,1,80,6,4,2.5616
0.75,1190205861,801,1,80,7,5,3.04928
0.75,1190206528,667,1,80,8,6,3.439424
0.75,1190207043,515,1,80,9,7,3.7515392
0.75,1190207514,471,1,80,10,8,4.00123136
0.75,1190203773,20,1,81,2,0,0.0
0.25,1190203918,145,1,81,3,1,1.0
0.75,1190203939,21,1,81,4,1,0.8
0.25,1190204228,289,1,81,5,2,1.64
0.75,1190204252,24,1,81,6,2,1.312
0.25,1190204678,426,1,81,7,3,2.0496
0.25,1190204723,45,1,81,8,3,1.63968
0.75,1190204740,17,1,81,9,3,1.311744
0.75,1190205334,594,1,81,10,4,2.0493952
0.75,1190206169,835,1,81,11,5,2.63951616
0.75,1190206818,649,1,81,12,6,3.111612928
0.75,1190207314,496,1,81,13,7,3.4892903424
0.75,1190204420,475,1,82,2,2,1.8
0.75,1190204948,528,1,82,3,3,2.44
0.75,1190205901,953,1,82,4,4,2.952
0.75,1190206589,688,1,82,5,5,3.3616
0.75,1190207111,522,1,82,6,6,3.68928
0.75,1190204443,482,1,83,2,2,1.8
0.75,1190204995,552,1,83,3,3,2.44
0.75,1190205918,923,1,83,4,4,2.952
0.75,1190206622,704,1,83,5,5,3.3616
0.75,1190207126,504,1,83,6,6,3.68928
0.75,1190203935,115,1,84,2,1,1.0
0.75,1190204178,243,1,84,3,2,1.8
0.75,1190204616,438,1,84,4,3,2.44
0.75,1190205164,548,1,84,5,4,2.952
0.75,1190205932,768,1,84,6,5,3.3616
0.75,1190206586,654,1,84,7,6,3.68928
0.75,1190207082,496,1,84,8,7,3.951424
0.75,1190207551,469,1,84,9,8,4.1611392
0.75,1190204515,462,1,85,2,2,1.8
0.75,1190205067,552,1,85,3,3,2.44
0.75,1190205961,894,1,85,4,4,2.952
0.75,1190206637,676,1,85,5,5,3.3616
0.75,1190207155,518,1,85,6,6,3.68928
0.75,1190204540,446,1,86,2,2,1.8
0.75,1190205088,548,1,86,3,3,2.44
0.75,1190205975,887,1,86,4,4,2.952
0.75,1190206649,674,1,86,5,5,3.3616
0.75,1190207164,515,1,86,6,6,3.68928
0.25,1190204146,18,1,87,2,0,0.0
0.75,1190204158,12,1,87,3,0,0.0
0.75,1190204304,146,1,87,4,1,1.0
0.75,1190204608,304,1,87,5,2,1.8
0.75,1190205035,427,1,87,6,3,2.44
0.75,1190205678,643,1,87,7,4,2.952
0.75,1190206378,700,1,87,8,5,3.3616
0.75,1190206894,516,1,87,9,6,3.68928
0.75,1190207393,499,1,87,10,7,3.951424
0.75,1190204244,109,1,88,2,1,1.0
0.75,1190204497,253,1,88,3,2,1.8
0.75,1190204867,370,1,88,4,3,2.44
0.75,1190205419,552,1,88,5,4,2.952
0.75,1190206125,706,1,88,6,5,3.3616
0.75,1190206733,608,1,88,7,6,3.68928
0.25,1190207203,470,1,88,8,7,3.951424
0.75,1190207232,29,1,88,9,7,3.1611392
0.75,1190204745,381,1,89,2,2,1.8
0.75,1190205309,564,1,89,3,3,2.44
0.75,1190206107,798,1,89,4,4,2.952
0.75,1190206772,665,1,89,5,5,3.3616
0.75,1190207290,518,1,89,6,6,3.68928
0.75,1190204223,21,1,90,2,0,0.0
0.25,1190204378,155,1,90,3,1,1.0
0.25,1190204403,25,1,90,4,1,0.8
0.75,1190204428,25,1,90,5,1,0.64
0.25,1190204707,279,1,90,6,2,1.512
0.75,1190204729,22,1,90,7,2,1.2096
0.25,1190205186,457,1,90,8,3,1.96768
0.25,1190205202,16,1,90,9,3,1.574144
0.75,1190205216,14,1,90,10,3,1.2593152
0.75,1190205897,681,1,90,11,4,2.00745216
0.25,1190206525,628,1,90,12,5,2.605961728
0.75,1190206537,12,1,90,13,5,2.0847693824
0.75,1190207012,475,1,90,14,6,2.66781550592
0.75,1190207482,470,1,90,15,7,3.13425240474
0.75,1190204752,366,1,91,2,2,1.8
0.75,1190205321,569,1,91,3,3,2.44
0.75,1190206137,816,1,91,4,4,2.952
0.75,1190206756,619,1,91,5,5,3.3616
0.75,1190207275,519,1,91,6,6,3.68928
0.75,1190204358,120,1,92,2,1,1.0
0.75,1190204601,243,1,92,3,2,1.8
0.75,1190204977,376,1,92,4,3,2.44
0.75,1190205607,630,1,92,5,4,2.952
0.75,1190206309,702,1,92,6,5,3.3616
0.75,1190206851,542,1,92,7,6,3.68928
0.75,1190207319,468,1,92,8,7,3.951424
0.25,1190204462,121,1,93,2,1,1.0
0.75,1190204479,17,1,93,3,1,0.8
0.25,1190204715,236,1,93,4,2,1.64
0.75,1190204736,21,1,93,5,2,1.312
0.25,1190205128,392,1,93,6,3,2.0496
0.75,1190205151,23,1,93,7,3,1.63968
0.25,1190205732,581,1,93,8,4,2.311744
0.25,1190205786,54,1,93,9,4,1.8493952
0.25,1190205811,25,1,93,10,4,1.47951616
0.75,1190205825,14,1,93,11,4,1.183612928
0.25,1190206408,583,1,93,12,5,1.9468903424
0.75,1190206424,16,1,93,13,5,1.55751227392
0.25,1190206911,487,1,93,14,6,2.24600981914
0.75,1190206932,21,1,93,15,6,1.79680785531
0.25,1190207412,480,1,93,16,7,2.43744628425
0.75,1190207427,15,1,93,17,7,1.9499570274
0.75,1190204469,123,1,94,2,1,1.0
0.75,1190204695,226,1,94,3,2,1.8
0.75,1190205073,378,1,94,4,3,2.44
0.75,1190205637,564,1,94,5,4,2.952
0.75,1190206325,688,1,94,6,5,3.3616
0.75,1190206859,534,1,94,7,6,3.68928
0.75,1190207341,482,1,94,8,7,3.951424
0.75,1190204366,11,1,95,2,0,0.0
0.75,1190204500,134,1,95,3,1,1.0
0.75,1190204755,255,1,95,4,2,1.8
0.75,1190205167,412,1,95,5,3,2.44
0.75,1190205819,652,1,95,6,4,2.952
0.75,1190206434,615,1,95,7,5,3.3616
0.75,1190206920,486,1,95,8,6,3.68928
0.75,1190207399,479,1,95,9,7,3.951424
0.75,1190205043,108,1,96,2,1,1.0
0.25,1190205280,237,1,96,3,2,1.8
0.75,1190205294,14,1,96,4,2,1.44
0.25,1190205674,380,1,96,5,3,2.152
